Name,Address,Phone,Email,About,City,Map,Website,Opening
Macmed Integrated Farms,"1, Gani Street, Ijegun Imore. Satellite Town. Lagos , ",8033316905,,"Macmed Integrated Farms is into Poultry, Fish Farming (eggs, meat,day old chicks,fingerlings and grow-out) and animal Husbandry and sales of Farmlands land and facilities We also provide feasibility studies and business planning for all kind of businesses.",,"https://maps.google.com/maps?daddr=6.438409114764731,3.2783467488097813&saddr=",,Thursday: 8am-5pm  
PetsMart,"19B Bush Street, Mende, Maryland, Lagos, Nigeria, ",2.34812E+12,,THE BRAND:,,"https://maps.google.com/maps?daddr=6.567166672498278,3.3689559423278297&saddr=",http://www.petsmartnigeria.com,Thursday: 9:00 am - 6:00 pm  
SeminarsGo,"Lagos, Nigeria, ",9063978819,,"SeminarsGo enables people like you to discover valuable seminars and helps organizers meet real audience. At SeminarsGo, we constantly provide you with a list of certification seminars around you that can help you grow in your career.",,,http://seminarsgo.com/,Thursday: open 24 hours  
Airgate Travel And Tours Limited,"76, Mobolaji Bank Anthony Way, 1st Floor left door(government, cooperative house, Ikeja, Lagos, ",7032338729,,We offer the best affordable price to travel around the world. Get a good deal from Airgate Travel And Tours Limited on your local and international flight.,,"https://maps.google.com/maps?daddr=6.556226394385841,3.3707642555236816&saddr=",https://www.airgatetrip.com,Thursday: 09:00am-05:00pm  
Giivt Digital,"Bayo Oyewale, Ago Palace way, Okota - Lagos., ",7062583950,,"Giivt Digital is a digital marketing agency that helps businesses increase brand sales through effective digital marketing strategies. We specialize in search engine optimization (seo), web design, PPC, content marketing, email Marketing and training. ",,"https://maps.google.com/maps?daddr=6.515748996766596,3.312868690849996&saddr=",http://www.giivtdigital.com.ng,Thursday: 9:00am - 5:00pm  
Adept-Quality Printers Ltd,"57 Adedoyin Street, Ogba, ",2.34813E+12,,Printing Services:,,"https://maps.google.com/maps?daddr=6.639818931824826,3.347108291325651&saddr=",https://onlineorders.catalog.to/s/buynow/cartonsproducers/abs,Thursday: 8am to 6:30pm  
KABWORLD Physiotherapy & Co,"Lagos Island, Mainland and Ikorodu axis , ",2.34703E+12,,"We provide quality and excellent Physiotherapy Services for individuals (Treatment brought to your homes I.e domiciliary services) and hospital services based on consultations. Varieties of medical conditions managed ranges from Neurological conditions like stroke, cerebral palsy to orthopaedic conditions likes Osteoarthritis, Spondylosis (Pain along the spine) for pediatrics(Children) and geriatrics(elderly ones). We also profer ergonomic solutions to companies with a view to improving the productivities of the employees under the company",,"https://maps.google.com/maps?daddr=6.4354704184240745,3.437047004699707&saddr=",http://www.kabworldphysiotherapy.com,Thursday: 08:00 - 19:00  
WOW Travels and Tours,"Block 10 LSDPC Estate, Ogba, ",8022226930,,"WOW Travels and Tours is a travel company which takes care of your travel requirement, Dubai Visa, tours, hotel packages, both local and international to various destinations.",,"https://maps.google.com/maps?daddr=6.623408439050063,3.3266043663024902&saddr=",https://www.wowtravelsandtours.com,Thursday: 8:00am - 6:00pm  
Belamej International Ltd,"LAGOS. , ",9090240402,,would like you to know that we provide transportation service for bulky(large) goods at affordable rates ...we deliver to location.,,"https://maps.google.com/maps?daddr=6.43339832019202,3.4692783068421704&saddr=",,
Clearview Travels,"T17/18 Tejuosho Shopping Complex Phase2, Yaba, Lagos, ",14538395,,"Clearview Travels is a leading Global Travel Agency domiciled in Lagos Nigeria offering remarkable travel services. Leveraging on our vast experiences over the years, we meet your every travel needs.",,"https://maps.google.com/maps?daddr=6.460888146494495,3.415254730468746&saddr=",http://www.clearviewtravels.com,Thursday: 9:00am-5:00pm  
Wilsonjay Movers and Packers - Relocation Services,"108 Market Street, Odunade Bus-Stop, Coker , ",8030469626,jaypromxy@gmail.com,"Call us on: 08108016115 or 08165022888. We are professional moving and haulage company in Lagos Nigeria. We move and relocate goods and services from one geographical point in Nigeria to another geographical location. We professionally move home properties, offices, and commercial properties. We want to make moving a hitch-free experience. We are ready to give you a satisfactory services. Give us a trial.",,"https://maps.google.com/maps?daddr=6.450862159179884,3.391878604888916&saddr=",http://wilsonjaymovers.com.ng,Thursday: 8:00 - 16:00  
As Snow Cleaning & Pest Control Services,"7 General Hospital Road Gbagada Lagos, ",8174056250,,As snow cleaning services is designed to deliver the best quality of services when it comes to any form of homes/offices cleaning....we are the best you can trust,,"https://maps.google.com/maps?daddr=6.553154350250228,3.3881599650312744&saddr=",http://assnowcleaningservices.com.ng,Thursday: 8:00am -5:00pm  
BAM & GAD SOLICITORS,"17/19 ALLEN AVENUE IKEJA ,LAGOS, ",+234 8062787594,,"Bam & Gad Solicitors is a firm of leading lawyers in Ikeja, Lagos, Nigeria providing efficient legal services as the top Commercial, Corporate, general Civil, Business law Attorneys and law firms in Lagos, Nigeria. Practice areas also include representing as the Family & Divorce Lawyers in Lagos, Immigration solicitors in Nigeria, Foreign Investment & Due diligence for companies, Maritime, Energy law and Alternative Disputes Resolution.",,"https://maps.google.com/maps?daddr=6.598227266952309,3.3535531942901597&saddr=",http://bamandgadsolicitors.com.ng,Thursday: 8am-6pm  
Abax Oosa Professionals,"18 Akanbi Danmola Street, South West Ikoyi, Lagos., ",+234 1 463 0842,,"Abax-OOSA Professionals is a 4-partner firm of accountants providing Audit/Assurance, Accountacy, Taxation and Advisory services. ",,"https://maps.google.com/maps?daddr=6.4437785,3.419611799999984&saddr=",http://www.abax-oosa.com,
Resolution Law Firm,"Alphon House, 50/52, Toyin Street, Ikeja, ",8099223322,,Resolution Law Firm is established by a team of lawyers with a passion and dedication to cater to needs for quality legal services.,,,http://www.resolutionlawng.com,Thursday: 8:00 am to 6:00pm  
Solag Allied Chemicals Ltd,"196 Oshodi/Apapa Expressway, Ilasamaja,Lagos, ",2.34701E+12,,"Solag Allied Chemicals limited is a chemical company,duely registered with corporate affairs commission of Nigeria with registration number Rc.1444154.Our products range from food,industrial and pharmaceautical chemicals.",,"https://maps.google.com/maps?daddr=6.518960482668662,3.3351598048063735&saddr=",,Thursday: 09:00-06:00  
Global House of Designs,"LAGOS Address: Olaosun close Ojuelegba Lagos, ",2.34803E+12,olowuife7@gmail.com,"Global house of Designs is into Arts, Print, Designs and Events. ",,"https://maps.google.com/maps?daddr=6.523835339658012,3.380295456442582&saddr=",http://facebook.com/housedesign45,Thursday: 9:00 am - 7:00 pm   
Solis Imperium Veritas,"7, akinbanjo street,Fadipe, Somolu, Yaba, ",8115470667,,"Solis Imperium Veritas (SIV) provides Management Systems Consultancy Services, Technical/conformance Inspection and Audit Services, Integrated Strategic Risk Planning, Information Technology Solutions(builds software and products) , Personnel Training and Certification and Business Process Re-engineering Services to private and public owned small, medium-sized and large organisations.",,"https://maps.google.com/maps?daddr=6.515467958389039,3.3723393862304647&saddr=",https://www.solisimperiumveritas.com,Thursday: 09:00 am - 5:00 pm  
SaintMarks Animal Hospital,"SaintMark's Animal Hospital Complex.Ado Road,off Ajah-Lekki Expressway, ",8065184913,,"Saintmarks Animal Hospital Complex,provides a wide range of animal care service.Clinic & Surgery,Pet Shop,Dog Sales,House Calls,Dog training,Fumigation and Pest Control Services,Consultancy,Deliveries,",,,http://www.saintmarkvet.com.ng,Thursday: 8am-6pm  
SLITE,"14, Sawyer Crescent, Gbagada Phase 1, Off Corona School., ",8182819308,,"slite is a Design and Digital Agency, located in Lagos. ",,"https://maps.google.com/maps?daddr=6.555354869541946,3.3685755729675293&saddr=",http://www.slitedesigns.com,Thursday: 09:00am - 6pm  
